wavfile,ground_truth,ASR_recognition,wer,cer,sdr,sir,sar
sim_NM_amp_nn_pd06_h16_1,The empty flask stood on the tin tray.,the empty flustered on the ten tray.,0.5,0.2368421052631579,[-22.07848488],[inf],[-22.07848488]
sim_NM_amp_nn_pd06_h16_10,The sofa cushion is red and of light weight.,the sofa cushion is red and of light weight.,0.1111111111111111,0.022727272727272728,[-29.22336104],[inf],[-29.22336104]
sim_NM_amp_nn_pd06_h16_2,A speedy man can beat this track mark.,a speedy man can be is this track mark.,0.375,0.10526315789473684,[-28.57724853],[inf],[-28.57724853]
sim_NM_amp_nn_pd06_h16_3,He broke a new shoelace that day.,he broke a new shoe letters for that day.,0.5714285714285714,0.3333333333333333,[-21.98565656],[inf],[-21.98565656]
sim_NM_amp_nn_pd06_h16_4,The coffee stand is too high for the couch.,%HESITATION coverage Dennis too high for the couch.,0.4444444444444444,0.4651162790697674,[-29.45789503],[inf],[-29.45789503]
sim_NM_amp_nn_pd06_h16_5,The urge to write short stories is rare.,the urge to write short stories and %HESITATION.,0.375,0.375,[-15.97081387],[inf],[-15.97081387]
sim_NM_amp_nn_pd06_h16_6,The pencils have all been used.,the pencils of all the news.,0.6666666666666666,0.3870967741935484,[-28.59869036],[inf],[-28.59869036]
sim_NM_amp_nn_pd06_h16_7,The pirates seized the crew of the lost ship.,the pirates seized the crew of lost ship.,0.2222222222222222,0.1111111111111111,[-24.87560695],[inf],[-24.87560695]
sim_NM_amp_nn_pd06_h16_8,We tried to replace the coin but failed.,we tried to replace the coin but failed.,0.125,0.025,[-23.41907116],[inf],[-23.41907116]
sim_NM_amp_nn_pd06_h16_9,She sewed the torn coat quite neatly.,to sell the charcoal quite neatly.,0.5714285714285714,0.32432432432432434,[-27.3475377],[inf],[-27.3475377]
sim_NM_na_nn_pd06_h16_1,The empty flask stood on the tin tray.,the empty for listed on the two and three.,0.75,0.42105263157894735,[-27.86554563],[inf],[-27.86554563]
sim_NM_na_nn_pd06_h16_10,The sofa cushion is red and of light weight.,so for Christian is run in of light weight.,0.5555555555555556,0.3636363636363637,[-25.34276983],[inf],[-25.34276983]
sim_NM_na_nn_pd06_h16_2,A speedy man can beat this track mark.,speedy man can be is this trademark.,0.625,0.21052631578947367,[-26.14051041],[inf],[-26.14051041]
sim_NM_na_nn_pd06_h16_3,He broke a new shoelace that day.,he broke a new shoe is for that day.,0.5714285714285714,0.24242424242424246,[-26.11887098],[inf],[-26.11887098]
sim_NM_na_nn_pd06_h16_4,The coffee stand is too high for the couch.,%HESITATION coverage status too high for the codes.,0.5555555555555556,0.5116279069767442,[-27.83151283],[inf],[-27.83151283]
sim_NM_na_nn_pd06_h16_5,The urge to write short stories is rare.,the urge to write short stories were.,0.375,0.15,[-25.43237877],[inf],[-25.43237877]
sim_NM_na_nn_pd06_h16_6,The pencils have all been used.,the prices of all the news.,0.8333333333333334,0.5161290322580645,[-26.74244727],[inf],[-26.74244727]
sim_NM_na_nn_pd06_h16_7,The pirates seized the crew of the lost ship.,Paris C. as the crew of lost ship.,0.4444444444444444,0.4222222222222222,[-27.3561283],[inf],[-27.3561283]
sim_NM_na_nn_pd06_h16_8,We tried to replace the coin but failed.,we tried to replace the coin but failed.,0.125,0.025,[-28.49898084],[inf],[-28.49898084]
sim_NM_na_nn_pd06_h16_9,She sewed the torn coat quite neatly.,to sell the torn coat quite neatly.,0.2857142857142857,0.16216216216216214,[-30.55869682],[inf],[-30.55869682]
